time,GHI,AC_Power_W,Wind_Power_W,PU,Wind_PU
2020-08-12 07:30:00+08:00,137.6,3799075.6888459465,9546436.500082444,0.037990756888459466,0.09546436500082445
2020-08-12 08:30:00+08:00,335.9,19443838.172340352,3246590.9736621613,0.19443838172340352,0.03246590973662161
2020-08-12 09:30:00+08:00,527.85,38312507.984664254,3246590.9736621613,0.3831250798466425,0.03246590973662161
2020-08-12 10:30:00+08:00,702.95,54482690.65327677,11243130.585571898,0.5448269065327677,0.11243130585571898
2020-08-12 11:30:00+08:00,762.75,60781470.990965,36367634.044391066,0.60781470990965,0.3636763404439107
2020-08-12 12:30:00+08:00,794.95,64037811.164888985,60110108.3114104,0.6403781116488898,0.6011010831141039
2020-08-12 13:30:00+08:00,866.31,69243287.859585,75642189.64160754,0.69243287859585,0.7564218964160754
2020-08-12 14:30:00+08:00,870.01,69063210.53367051,79344067.64631183,0.6906321053367052,0.7934406764631183
2020-08-12 15:30:00+08:00,795.05,61903584.816697046,68336503.87741986,0.6190358481669704,0.6833650387741986
2020-08-12 16:30:00+08:00,606.85,45406124.24860462,50120913.69554174,0.4540612424860462,0.5012091369554174
2020-08-12 17:30:00+08:00,428.9,28443974.68816151,36367634.044391066,0.2844397468816151,0.3636763404439107
2020-08-12 18:30:00+08:00,237.3,10662578.656192333,23213839.999071255,0.10662578656192333,0.23213839999071256
2020-08-12 19:30:00+08:00,63.4,1531067.1234022866,11243130.585571898,0.015310671234022865,0.11243130585571898
2020-08-12 20:30:00+08:00,0.0,0.0,1704141.805035383,0.0,0.01704141805035383
2020-08-12 21:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-12 22:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-12 23:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-13 00:30:00+08:00,0.0,0.0,503563.11159511044,0.0,0.005035631115951104
2020-08-13 01:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-13 02:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-13 03:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-13 04:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-13 05:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-13 06:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-13 07:30:00+08:00,140.15,3446078.766163478,0.0,0.03446078766163478,0.0
2020-08-13 08:30:00+08:00,339.15,19376457.944158133,0.0,0.19376457944158132,0.0
2020-08-13 09:30:00+08:00,537.95,38609507.06951507,0.0,0.3860950706951507,0.0
2020-08-13 10:30:00+08:00,716.85,54484050.00028944,0.0,0.5448405000028944,0.0
2020-08-13 11:30:00+08:00,837.86,64448663.700373486,790017.9571972261,0.6444866370037349,0.007900179571972261
2020-08-13 12:30:00+08:00,906.36,69735689.25274698,2218291.5279109795,0.6973568925274698,0.022182915279109795
2020-08-13 13:30:00+08:00,927.06,70904146.79226024,1704141.805035383,0.7090414679226025,0.01704141805035383
2020-08-13 14:30:00+08:00,810.6500000000001,61967191.41416836,2218291.5279109795,0.6196719141416835,0.022182915279109795
2020-08-13 15:30:00+08:00,725.95,54759195.28763747,944262.8740599037,0.5475919528763747,0.009442628740599037
2020-08-13 16:30:00+08:00,546.1,39990936.34964241,944262.8740599037,0.3999093634964241,0.009442628740599037
2020-08-13 17:30:00+08:00,385.95,25243072.047032163,349318.1947324329,0.2524307204703216,0.003493181947324329
2020-08-13 18:30:00+08:00,243.55,10568261.291958166,503563.11159511044,0.10568261291958166,0.005035631115951104
2020-08-13 19:30:00+08:00,66.45,1377599.2843930917,657808.028457788,0.013775992843930917,0.00657808028457788
2020-08-13 20:30:00+08:00,0.0,0.0,657808.028457788,0.0,0.00657808028457788
2020-08-13 21:30:00+08:00,0.0,0.0,657808.028457788,0.0,0.00657808028457788
2020-08-13 22:30:00+08:00,0.0,0.0,944262.8740599037,0.0,0.009442628740599037
2020-08-13 23:30:00+08:00,0.0,0.0,790017.9571972261,0.0,0.007900179571972261
